origin_id,meaning,description
2,"Sun, Reward, Ornament",Aad refers to the reward or gift promised by Allah (God) to those who keep their faith in Islam. The name also signifies beauty and elegance
4,Master,"In Sanskrit, Aad means the supreme one or the master"
2,"Manners, Good Conduct, Politeness, Courtesy","Aadab is derived from the Arabic word ""aadaab"", which means ""manners"" or ""good conduct"". It is often used as a term of respect or politeness, similar to the English word ""etiquette""."
14,Noble,"Aadalen is a modern American name of unknown meaning, possibly meaning 'noble'."
9,Man,"In the Quran, Aadam is frequently used as a title for the first man on earth, Adam."
2,Man,"In Islam, Adam is considered to be the first prophet."
2,"Just, Fair, Equitable",A righteous and just person.
21,"Justice, Equality, Fairness",A name given to children who are expected to uphold justice and equality.
22,"Equitable, Impartial",A name given to children who are expected to be fair and just in their dealings.
4,Mirror,
1,Respect,
3,"Faith, Devotion, Love For God",
2,"Man, Human, Name Of The Prophet Adam","It is derived from the Arabic word 'adan' meaning 'man' or 'human'. Aadan is also the Arabic form of the Biblical name Adam, the first man created by God."
23,"Of Noble Birth, Aristocratic",
4,"Ideal, Perfect, Model","Aadarsha is derived from the Sanskrit words 'aadarsh' or 'aadarh,' meaning 'ideal,' 'perfect,' or 'model.'"
24,"Mirror, Reflection","In Buddhism, Aadarsha is often associated with the concept of 'aadarsh mirga,' or 'the perfect mirror,' which represents the ideal qualities and values that a practitioner should strive for."
25,"Example, Ideal","In Hinduism, Aadarsha is sometimes used as a name for deities or spiritual leaders who are considered ideal or exemplary."
4,"Ideal, Exemplary, Perfect, Flawless",
4,"Ideal, Perfect, Model, Example","Aadarshini is a feminine name of Sanskrit origin, meaning 'ideal' or 'perfect'."
18,One Who Is Adorned,
4,"High Status, Powerful",
26,"Moon, Flower, Ornament",
26,"Light Of The World, The Sun God","Aadavan is the Tamil name for the Sun God, Surya."
1,Power,
4,One Who Commands,
25,Goddess Of Luck And Wealth,"Derived from the name of the Hindu goddess Lakshmi, Aaddhya is a popular choice for girls in India."
4,"Sun, Lord Of Surya, The First","Aadav is a name of Hindu origin and means 'sun', or 'lord of Surya'. Derived from the word 'aada', which means 'first'. It can be used for both boys and girls."
5,"Beginning, Start",Aadav is a Hindi name that means 'beginning' or 'start'. It is a common name for boys in India.
27,"Sea, Wave",The name Aaddvik most commonly means wave or sea in Norwegian.
2,A Gift,
4,"First, One And Only, Power, Unique","Aaddya is a name of Hindu origin that means ""first"", ""one and only"", ""power"", or ""unique""."
14,"Prosperity, Success",
4,"Light, Lamp, Luminous, Radiant",A Hindu masculine name derived from the Sanskrit word 'adip' meaning 'light' or 'lamp'.
4,Ruler,"The name Aadeesh is derived from the Sanskrit word 'aadesh', which means 'ruler' or 'command'."
3,Lord Shiva,"In Hinduism, Aadeesh is a name associated with Lord Shiva, representing his authority and dominance."
4,"Honorable, Respectful",
28,Man Of Respect,
5,Man Of Respect,
2,"Justice, Equity, Fairness",
2,"Paradise, Heaven, Garden Of Eden","The name is derived from the Arabic word 'adn', which means 'paradise' or 'heaven'."
2,"Human, Man","Aadem is an Arabic name that means ""human"" or ""man""."
29,"Noble, Kind, Gracious","Derived from the Old High German elements ""adal"", meaning ""noble, of noble family"", ""kind"", and ""heit"", a suffix forming abstract nouns."
30,"Noble, Kind","Derived from the Old High German elements ""adal"", meaning ""noble, of noble family"", and ""heit"", a suffix forming abstract nouns."
4,"Servant Of Shiva, One Who Worships Lord Shiva","Aadersh is derived from the Sanskrit name Aadarsh, resulting from the Lord Shiva's name."
29,"Noble, Honorable","Derived from the Old German elements ""adal"" (noble) and ""lind"" (gentle, soft)."
31,Sun,"Derived from the Sanskrit word 'aaditya', which means 'sun'."
31,Respectable,
4,"Sun, Unique, Different, Precious, Lord Vishnu","A Sanskrit name with multiple meanings, most commonly translated as ""sun""."
1,"Unique, First, Supreme","A name of Indian origins, commonly used throughout the country."
4,"Sovereign, Ruler, Lord","Derived from the Sanskrit word 'adesh', meaning 'order' or 'command'."
1,Command,"In Indian culture, the name Aadesh is often associated with power and authority."
4,The Sun,
2,Adam,
32,Fire,
4,Limitless,
32,Little Fire,"Aadeyn is the Irish form of the name Aidan, which means 'little fire' or 'fire' in Irish."
33,Little Fire,"Aadeyn is the Scottish form of the name Aidan, which means 'little fire' or 'fire' in Scottish Gaelic."
16,Fire,"Aadeyn is the English form of the name Aidan, which means 'fire' in Old English."
34,Noble-Kind,
4,"Beginning, Foundation",Aadh is a name that is often given to children who are born first or who are considered to be the foundation of their family.
4,"Beginning, First, Primal","The name is derived from the Sanskrit word 'aadhi', which means 'beginning' or 'first'."
4,One That Is Eternal,"Aadhanya means 'eternal' or 'one who will last forever' in Sanskrit, suggesting a sense of permanence and longevity."
26,Intelligent,
4,Mirror,
1,Reflection,
4,"The Goal, The Target","Aadharsha means ""the goal"" or ""the target"" in Sanskrit."
1,"Ideal, Perfect","Aadharsha means ""ideal"" or ""perfect"" in Indian."
1,"First, Foremost, Priority",
4,Sun,"Aadhavan is a masculine name of Sanskrit origin, meaning 'sun'."
4,The Sun,"Derived from the word 'Aditya', which means 'sun' in Sanskrit."
4,"Half, First","Aadhee is a Sanskrit name that means ""half"" or ""first""."
1,"Beginning, Root","Aadhee is also an Indian name that means ""beginning"" or ""root""."
3,Foundation,"In Hinduism, Aadhee is a name that refers to the foundation or base of something."
26,Sun,
35,Powerful,Aadheera is commonly used as a name for both boys and girls in Telugu speaking regions.
4,One Who Is Powerful,"Derived from the Sanskrit word ""aadheer"", which means ""powerful"" or ""strong""."
5,One Who Is Independent,"In Hindi, Aadheera is often associated with the concept of independence and self-reliance."
4,Infinite And Eternal,
5,Authority And Respect,
1,Great And Powerful Commander,
26,Half Moon,Aadheeram in Tamil means Half Moon.
3,Worshiper,Aadheeran in Hindu means Worshipper.
4,Devotion,Aadheeran in Sanskrit means Devotion.
4,"Ruler Of The World, Lord Of The Universe",It is a popular name for Hindu boys.
26,"King, Lord, Ruler",It is a common name in the southern Indian state of Tamil Nadu.
35,"Master, Governor, Chief",It is a traditional name for Telugu-speaking communities.
4,"First God, Lord Of The Beginning",Aadhidev is a name that is commonly used in the Hindu religion and is often associated with the concept of the supreme god or the creator of the universe.
36,Blossoming Flower,"Means ""flower blossom"" in Tamil."
2,"Just, Upright, Righteous",This name is often given to children who are expected to be fair and just in their dealings with others.
4,Lord Of The Mountain,"Aadhinath is one of the names of Lord Shiva, who is worshipped as the protector of the mountains."
4,"First, Original, Primal, Power, Mighty, Fundamental","Derived from the Sanskrit word ""aadi,"" meaning ""beginning"" or ""origin."""
26,"Sun, Lord Shiva","Derived from the Tamil words ""aadi,"" meaning ""sun,"" and ""thik,"" meaning ""lord."""
4,"Beginning Of Creation, First","Derived from the Sanskrit word 'aadhi', meaning 'beginning' or 'first'"
4,"Beginning, Origin, Sun, Goddess Lakshmi",
1,"Holy, Sacred",
26,The Rising Sun,
4,"Supreme Lord Vishnu, Origin Of Lords","Aadhikesav is derived from the Sanskrit words 'aadhi' meaning 'beginning' or 'origin', and 'kesav' meaning 'Lord Vishnu'."
26,"Full Of Gems, Artistic, Skillful",
26,"Strength, Powerful","Aadhiran is a name of Tamil origin, meaning ""strength"" or ""powerful""."
4,"Sun, Lord Of The Sky",
37,Sun,
5,"Sun, Lord Of The Sky",
4,"Goddess, Shri",
26,Lord Of The Universe,"A name of Lord Shiva, the supreme Hindu deity."
4,Rising Sun,"From the Sanskrit word 'aaditya', meaning 'sun.'"
1,The Sun,
4,First,
26,"Early Morning Sun, Beginning, Origin",
1,Beginning,
4,Sun,
3,First Ray Of Sun,
1,Lord Shiva,
4,"Sun, Light",Aaditya is the Sanskrit word for 'sun'.
4,Sun,Name of a form of God Vishnu
4,Sun,"Aadhitiya is the Sanskrit equivalent of the name Aditya, which means 'sun' or 'sun god'."
26,Sun,"In Tamil, Aadhitiya means 'sun' and is often used as a name for boys."
35,Sun,"Similar to its Sanskrit and Tamil roots, Aadhitiya means 'sun' in Telugu as well."
4,The Sun God,
31,"First Ray Of The Sun, Universe, World, Whole","Aadhiv is of Sanskrit origin. In Hinduism, Aadhiv is a reference to the Lord Vishnu in his role as the Sun."
4,Sun God,"Aadhityaa is the Sanskrit name for the Sun, and it is often used to refer to the Hindu deity of the Sun, Surya."
1,"Ray Of Light, Radiance","In India, Aadhityaa is also used as a name for boys, and it is seen as a symbol of light and purity."
35,"Lord Of The Sun, Protector","In Telugu, Aadhityaa is a popular name for boys, and it is believed to bring good luck and prosperity."
4,First,
26,She Who Cannot Be Beat,
4,"Pure, First Ray Of Sun, Earth",
4,"First Power, Supreme Power",Aadhisree is a Hindu name which means 'first power or supreme power'.
4,"Unique, The Only One","Aadhrit is a Sanskrit name that means ""unique"" or ""the only one""."
4,"Modern, Contemporary",
4,"Limitless, Boundless, Vast",Aadhriti is a name that symbolizes the boundless nature of existence and the universe.
26,"Sun, The First, Beginning Of Everything","Aadhiyan is a form of the Hindu god Shiva, who is often associated with the sun and the beginning of everything."
36,Sun Of Knowledge,
4,"Foundation, Base, Support",
4,"Path, Trail, Direction",
4,"First, Primal, Original","Aadhvik is a Sanskrit name that means 'first', 'primal', or 'original'."
3,"Divine, Heavenly",Aadhvik is also a Hindu name that means 'divine' or 'heavenly'.
4,"Unbeaten, Supreme, Victorious",A name that connotes invincibility and superiority.
25,"God Shiva, Protector",A name associated with the divine power and protection of Lord Shiva.
4,"Divine, Unrivaled, Invincible","Aadhvi is a beautiful Sanskrit name meaning ""divine"" or ""unrivaled""."
4,One Who Possesses Immense Knowledge,
3,Unique,
1,Intelligent,
4,"First, Beginning",Aadhya is a name that is often used to refer to the first-born child in a family.
4,"Primal Force, First Power Of Existence","Aadhya is a feminine name of Hindu origin, meaning 'first power' or 'primal force'. This name is often used to refer to the supreme goddess Adi Parashakti, who is also known as the 'first power of existence'."
3,"Goddess Durga, Goddess Lakshmi, Goddess Saraswati","Aadhya is also associated with the Hindu goddesses Durga, Lakshmi, and Saraswati, who are collectively known as the 'Tridevi' or 'three goddesses'. These goddesses represent power, wealth, and knowledge, respectively."
4,"Unique, Incomparable, One And Only",
35,"First, Beginning","Aadhya is a Sanskrit word that means ""first"" or ""beginning""."
1,"Foundation, Beginning, Strength",Aadhyan is a Hindu name that signifies the beginning or foundation of something.
4,"First, Beginning","In Sanskrit, Aadhyan means the first or the beginning."
4,"Beginning, First, Principal","Aadhyant is a name of Sanskrit origin, meaning ""beginning"" or ""first""."
4,"Primordial Goddess, The First Divine Shakti",Aadhya means 'First' and 'Shree' means 'Divine Shakti' or 'Goddess' in Sanskrit.
3,Goddess Lakshmi,"Aadhyashree is an alternative name for Goddess Lakshmi, who is the goddess of wealth and prosperity in the Hindu religion."
4,The First Goddess,"This name refers to the Hindu goddess Adi Parashakti or Shakti, who is considered the primal feminine energy of the universe."
4,"First, Beginning, Origin",Aadhyavi is a popular name among Hindus and is often used for girls.
4,"First, Beginning, Sun","It is the name of a Hindu festival, celebrated on the first day of the month of Bhadrapada, which marks the birth of the elephant head God, Ganesha. It is believed that placing an oil lamp on the water and letting it float away gives him wealth."
5,Respectable,"It is a common name given to boys in India, and it holds a place of respect in society. It is derived from the word 'Aadar', meaning 'respect' or 'esteem'."
38,Born On A Good Day,It is a name given to children born on a day considered to be auspicious and fortunate.
4,"First God, Primal God, Lord Of The Universe",
4,"Beginning, Start, First, Origin","In Hindu mythology, Aadhyah is a name of the Goddess Lakshmi, who is the goddess of wealth, prosperity, and fortune."
5,"First, Primary, Original","Aadhya is often used as a name for a baby's first child, symbolizing the beginning of a new life."
35,"Power, Strength, Authority","In Telugu culture, Aadhyah is seen as a strong and powerful name, suitable for a leader or a warrior."
2,"Gift, Precious, Jewel",
9,"Jewel, Ornamentation",Aadia is a variant of the Hebrew name Adi.
4,"Spirituality, Inner Self",
25,"Divine Knowledge, Spiritual Path",
1,Spiritual Enlightenment,
4,"First King, First Victor, First Winner",
16,Noble,
33,Noble,
8,"Prosperity, Wealth",
11,"Beginning, Origin, Founding Father",
2,"Fair, Just",
2,Adorned,"Meaning ""adorned"" in Arabic."
4,"Sun, First","Means ""sun"" or ""first"" in Sanskrit."
4,Beginning,"Derived from the Sanskrit word ""aadan"" meaning ""beginning""."
2,"Just, Honest, Noble","Aadil is an Arabic name that is often given to boys. It is a name with a strong meaning, as it signifies justice, honesty, and nobility."
10,"Sun, Glorious","In Persian, Aadil means 'sun' or 'glorious'. It is a name that is often given to boys who are seen as being bright and shining."
2,"Just, Fair, Upright",
4,First Wealth Of Goddess Lakshmi,"Derived from the Sanskrit words ""aadi"" meaning ""first"" and ""lakshmi"" meaning ""goddess of wealth and prosperity""."
4,The First Man,"Aadimoolan is the name of the first man created by Lord Brahma, the Hindu god of creation."
4,"Sun, First",Aadih is taken from the Sanskrit word 'Aaditya' and is a name typically given to boys.
3,"Glorious, Splendid, Supernatural",Aadih is also a Hindu name that refers to the sun god Surya.
29,"Noble, Strong, Warrior","Derived from the Old German name ""Adalind"", which means ""noble"" or ""strong""."
9,"Ornament, Jewel","Derived from the Hebrew name ""Adalya"", which means ""ornament"" or ""jewel""."
16,"Beloved, Friend","Derived from the Old English name ""Eadlin"", which means ""beloved"" or ""friend""."
2,Gentle And Beautiful,
4,"First, Most Beautiful; Goddess Saraswati",Derived from the Sanskrit word 'Adi' meaning 'first' or 'most beautiful' and 'Nadi' meaning 'river'.
4,First Of Lords,
1,First Jain Tirthankara,
4,"Unique, Supreme, Powerful","Aadin is a name of Sanskrit origin, meaning ""unique"", ""supreme"", or ""powerful""."
9,Jehovah Is One,"Aadin is also a Hebrew name, meaning ""Jehovah is one""."
2,"Paradise, Garden Of Eden","In Arabic, Aadin means ""paradise"" or ""garden of Eden""."
4,"King Of The Gods, Lord Of The Universe","Aadinathan is another name for Lord Shiva, the supreme God in Hinduism."
26,"Sun, The One Who Leads","Aadinathan is a popular name in Tamil Nadu, India."
3,"Lord Vishnu, The Preserver","Aadinathan is also a name for Lord Vishnu, one of the three main deities in Hinduism."
21,"Ray Of Light, Radiance, Spark",It is commonly used for both boys and girls in Pakistan and India.
4,"Beginning, Commencement",
4,"The First Lord, The One Who Is Worshipped At The Start Of Anything.",Aadinadh is a Hindu name that is often given to the first-born son in a family.
4,First,
1,Respect,
9,Powerful,
4,"Able, Powerful, Strength",Aadipta means 'sun' in Sanskrit. It is also a variation of the name Aaditya.
4,"Lord Vishnu'S Serpent, Eternal Serpent, Infinite Serpent",Aadiseshu is the name of the serpent upon which the god Vishnu rests and supports the universe.
4,Beginning,
